,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
146,서울대입구역,37.4812845008265,126.952695107942,3597,15,27641,2305,42338,12828,123151,30814,181999,64154,113655,59231,60875,47282,53691,42891,58562,46323,59896,51262,55223,54322,61118,59288,66678,70945,75372,101642,85900,172349,51454,141217,42056,80822,49865,72944,45059,91991,9026,32725,0,6399,0,0,0,0,0,0
147,서울숲역,37.5436349863299,127.044741683677,120,0,2592,473,5064,4738,13450,19640,21113,41419,14498,26333,8062,16717,7985,18155,10121,20849,12259,25847,15405,27096,21188,26935,29476,22860,39859,21235,51933,27439,27547,17789,17841,9146,16513,7670,11206,8894,1581,3147,23,538,0,0,0,0,0,0
148,서울역,37.5533163107152,126.969738305903,746,16,9151,6038,11560,33958,36079,87958,57500,181615,41250,118758,39862,58244,46185,49543,54505,49638,57758,51064,50662,47737,64574,51264,74463,52639,120907,62540,182945,70761,86590,46397,57287,29311,63411,25836,42161,21304,10028,7638,13,570,0,0,0,0,0,0
149,서초역,37.491835518946,127.007644026196,25,0,1260,4502,8928,19044,15581,48376,23456,122231,23348,86755,17766,35816,23052,25527,22488,20399,27650,24827,29408,21677,34352,19327,39811,19912,68076,20355,103262,22025,42410,14694,25840,8999,26887,8370,19746,10426,3614,3206,0,0,0,0,0,0,0,0
150,석계역,37.6150019340823,127.065670206166,2089,37,14139,3482,30241,7925,73771,12811,80793,21627,45957,16474,32777,16088,27750,18706,28430,21942,27906,23185,24646,25864,24058,33080,24918,41504,26502,53454,23958,88564,18389,70850,13437,40456,14056,34211,11695,37734,3212,17296,61,1363,0,0,0,0,0,0
151,석수역,37.4350857189035,126.90230723405,400,1,7439,2879,15938,6347,39236,11851,38534,17703,20608,11440,13088,9924,10960,6557,11461,7660,11232,8260,10592,8221,12167,10085,14181,12059,17224,18555,18953,31275,9804,27495,6307,14433,5307,15533,3937,15029,1116,6246,28,222,0,0,0,0,0,0
152,석촌고분역,37.5024642758104,127.096491224145,4,0,2324,307,5038,1965,14663,4607,23938,12159,15085,8721,8052,4871,6979,4551,7416,5389,7444,5856,6550,5871,6691,7258,8401,8145,8881,11437,12455,20678,6186,16388,4347,10451,4420,9044,3855,10017,738,4558,0,10,0,0,0,0,0,0
153,석촌역,37.5054105299706,127.106990485844,4,0,5754,721,13343,5716,37981,12789,50975,31266,31183,26315,20016,17206,18564,17985,20130,19098,20515,20889,19724,20068,20634,22781,24048,25958,28077,35585,34080,53122,19668,41280,16107,22345,17764,21667,16714,23386,3026,8625,6,488,0,0,0,0,0,0
154,선릉역,37.5044937750958,127.048948120105,46,3,4225,7383,11972,46439,24328,146640,36183,397301,32861,286780,36989,124570,49557,85029,57682,72774,69859,80800,81326,71130,100699,60506,137003,59815,208563,67946,356405,77170,167167,45506,101630,23594,107996,20953,96326,23712,12482,8782,59,533,0,0,0,0,0,0
155,선유도역,37.5381532418967,126.89332482044,1,0,1594,1038,5051,3716,19089,11207,22254,39162,9760,16944,6765,6737,7039,7448,7947,6800,7997,8428,8244,8511,9172,8506,11748,9119,17959,11148,36431,19905,13216,15912,7452,7928,6714,6654,5345,7939,1283,3196,0,24,0,0,0,0,0,0
156,선정릉역,37.5109290398758,127.043613714302,20,2,1977,2173,5620,11296,13356,28787,16651,111467,13177,86655,11179,32772,12812,19509,14311,18238,16710,19501,19294,18367,21635,16164,27817,17486,48600,20052,96882,24586,51767,17017,25048,10217,24279,9824,21063,11692,3157,3706,16,343,0,1,0,0,0,0
157,성수역,37.5445852156774,127.056057944077,34,1,5091,3582,9043,26496,23439,74257,30166,264973,22793,138959,19012,45732,19822,34927,23832,36401,28422,40953,31996,38086,37313,37874,49046,38513,97921,42886,221331,54660,96942,33425,55148,16456,60794,13423,45189,15150,5403,8272,3,1944,0,0,0,0,0,0
158,성신여대입구역,37.5929627242628,127.017120398018,48,5,6093,1908,18674,7124,49206,20130,60363,40932,37545,31373,27543,25559,27064,26186,31806,29447,32708,31310,31090,32743,34925,33788,39538,39180,44431,51388,50591,74653,33252,56565,29040,31474,34517,27865,31075,30884,5271,14076,2,14,3,3,0,0,0,0
159,솔밭공원역,37.655978257268,127.013259115174,1,1,1544,267,3692,1114,9275,1460,9362,2719,5894,2124,4131,2225,3561,2447,3759,3175,3496,3455,3468,3609,3118,3731,3502,4326,2901,4713,2422,7186,1728,7183,1027,4374,736,3393,602,3112,275,1950,2,35,0,0,0,0,0,0
160,솔샘역,37.6202451573205,127.013569926861,2,1,2573,220,9161,1156,28398,2945,27329,4527,13991,3129,8645,3121,7367,3551,7877,4263,7004,4772,5808,5513,5660,7118,6038,9281,5162,11821,4465,21875,2737,20645,2072,11412,1589,9860,1310,9650,460,4406,1,1,0,0,0,0,0,0
161,송정역,37.5611540020654,126.812412256202,31,2,3635,1264,7832,4230,21001,7678,22050,13449,13344,8026,10129,6928,9250,7086,9294,7868,9368,8163,8722,8242,9508,9526,10755,10688,12765,12753,13486,19248,7394,15741,5064,10262,4851,8778,4175,9973,962,4650,5,318,0,0,0,0,0,0
162,송파나루역,37.5110095122823,127.112653785965,0,0,1767,132,3431,1473,11085,3628,15264,9163,9752,7369,5385,4207,5363,5660,5333,5881,5969,7091,5435,6041,5640,6728,6479,8437,7687,11143,11030,18392,5909,15021,5397,6279,6511,5832,5357,6597,651,3156,1,20,0,0,0,0,0,0
163,송파역,37.4997113580808,127.112184453853,4,0,2225,538,8457,4536,23950,11038,28701,18189,15773,9318,11042,7232,10217,7228,10086,7932,9931,8863,9551,9145,11580,10179,13894,12533,12081,16482,15174,25626,7955,20832,5589,10745,4414,10761,3446,10392,826,4370,2,392,0,0,0,0,0,0
164,수락산역,37.6778778660233,127.055341897382,31,0,9149,651,21472,5030,53412,8885,47831,17764,26736,15960,18181,16633,16610,14727,17721,14984,18355,13835,17555,14006,18048,16686,18917,20939,18636,26079,18837,41100,11843,44162,7645,24715,6658,19888,4691,20987,1111,10879,15,1208,0,0,0,0,0,0
165,수색역,37.5808084927877,126.895641436132,0,0,788,650,1966,4429,3910,6112,4084,16825,3058,9373,2472,3150,2371,2287,2331,2241,2455,2962,2548,2451,2786,2384,4850,2939,8682,3760,12943,3585,6134,3169,3110,1894,2404,1334,1713,1740,404,947,9,95,0,0,0,0,0,0
166,수서역,37.4852843181606,127.10445168236,330,7,7563,4573,18120,26776,55608,58401,75026,98158,47995,54688,43882,39552,36679,29784,46012,36869,42417,37710,33370,36792,49126,41482,58841,48616,74188,59046,91384,83513,40664,62871,39625,39480,27168,33117,26567,37373,6909,11385,11,998,0,0,0,0,0,0
167,수유역,37.6378664771973,127.025492107399,85,4,18995,3232,45694,11960,113560,20019,125789,56038,72932,36802,49651,28606,44992,28775,46513,32569,45439,35785,42488,40150,41791,47572,46709,59542,52769,75444,58036,125214,34256,108567,24710,61130,24663,55033,21942,53171,5153,29190,1,15,0,0,0,0,0,0
168,숙대입구역,37.5445952301115,126.972118127372,10,0,2695,665,7141,6370,16549,22450,24758,51287,16318,27200,12879,15642,13465,14944,15614,15179,16062,15522,16041,15930,18498,15666,25617,18050,32530,23175,47260,30579,22754,21333,16453,12210,18857,11573,16891,12787,2434,4821,0,1,1,1,0,0,0,0
169,숭실대입구역,37.4963136741799,126.953612918928,11,0,5276,574,12154,3270,36247,8466,50424,20299,27230,16057,16112,13404,14559,12946,15329,13788,16172,14775,14929,15817,15090,17363,17874,20775,21345,27290,19717,45578,11875,34866,10320,20104,11092,18977,10071,21252,2720,8793,3,515,0,0,0,0,0,0
170,시청역,37.5653372841193,126.977181235023,41,0,2509,5279,4687,33217,10944,125791,14082,365105,16156,150859,19997,53018,30025,48593,31420,43759,38660,45030,49009,38500,60821,34795,72059,28900,143821,31055,300208,31237,99118,14923,72035,8105,71965,7274,50824,6896,6355,2718,6,119,0,0,0,0,0,0
171,신금호역,37.5544716890745,127.020484110799,5,0,2757,269,6705,2929,20802,8281,27880,14839,14172,6831,8640,5532,7442,5471,7917,6120,7698,6843,6913,7152,7452,8719,10422,10867,10651,14390,9755,23956,6760,17060,4814,10215,3811,8976,3032,10496,784,4042,8,283,0,0,0,0,0,0
172,신길역,37.5167834187845,126.918353640838,955,9,11923,2174,14606,7580,37259,21708,51377,45067,24463,17046,14449,9178,13429,8999,15704,10422,14251,11830,12920,11126,14065,12578,18127,16150,25616,25602,44102,40370,16259,27010,10771,17855,10929,19346,8495,21682,2231,7679,19,586,0,0,0,0,0,0
173,신내역,37.612487415788,127.104266904089,10,0,771,610,1916,4254,5484,4974,4724,5536,2639,1671,2086,1580,1879,1346,2049,1323,2117,1867,1976,1665,2430,2422,4300,2297,4411,3408,4087,4368,1625,3365,932,1710,794,1425,753,1328,285,744,3,94,0,0,0,0,0,0
174,신논현역,37.5048075124198,127.025469415506,31,1,2782,1739,12190,14573,31150,41755,42132,90326,27545,99339,22978,53548,28018,39753,33374,38446,36737,44874,39148,40805,44692,39709,53981,45008,73748,56988,107131,89588,76376,51739,55307,23870,66788,19982,67879,20561,7760,7767,6,571,0,0,0,0,0,0
175,신답역,37.5698350860798,127.04706653169,2,1,941,97,1652,422,6409,1036,9505,1721,3929,1043,2238,920,1858,1199,1747,1329,1808,1376,1626,1574,1628,2378,1566,2989,1807,4107,2192,9079,925,6927,572,3069,482,3390,433,3281,105,1504,0,9,0,0,0,0,0,0
176,신당역,37.5656622427144,127.019468475358,143,4,13008,2068,16723,15141,33880,33839,51219,75330,33252,43346,25295,30106,25665,26905,28618,26239,28609,28873,28555,27041,32162,27580,38896,32256,45997,40489,58315,58089,35170,46849,27011,26113,25896,23302,30322,27353,5856,16120,3,875,0,0,0,0,0,0
177,신대방삼거리역,37.4997428128212,126.928210959471,19,0,10028,1052,17610,7341,50414,13774,76371,30652,41555,18471,22699,12935,19672,12263,20595,13682,19106,15798,17374,16808,17696,19087,20184,24072,22786,33376,28804,60420,15212,47589,11368,27486,9891,24952,8589,25556,2204,11857,5,548,0,0,0,0,0,0
178,신대방역,37.487641446009,126.913500702287,127,1,24894,1612,36684,8705,87923,17888,127476,32590,75807,20969,40338,17353,32108,18061,32610,21397,31966,24153,27814,27175,27342,37055,30121,42781,34166,61560,41087,94152,21984,80570,15268,50793,12851,54315,10599,61124,2876,24884,0,10,0,0,0,0,0,0
179,신도림역,37.5089048744726,126.891307981962,4067,22,37294,5100,52060,19455,141337,46667,144200,126083,88360,73138,59227,61481,56099,57136,64871,60912,65709,64873,63921,61684,67363,69580,76991,80367,96458,111288,138525,181628,75600,129326,61773,70453,69862,66650,58053,81724,9149,33139,33,7147,0,0,0,0,0,0
180,신림역,37.4842644294274,126.929740854865,244,17,38964,3517,74981,19195,200062,34271,305689,62385,176604,49278,91241,40127,74800,41835,79789,48802,75849,56222,66593,63209,65906,79785,73228,94496,81370,141424,83844,245572,52325,212820,42400,126442,46537,119185,45549,135595,9630,58998,6,147,0,0,0,0,0,0
181,신목동역,37.5442703452459,126.883086765892,2,0,1906,312,5810,1883,17790,2933,17477,5771,8118,2410,4813,2380,4587,2868,4675,3009,4535,3682,3846,3798,4343,3887,5079,5541,5894,7607,5809,13744,2769,11502,1805,5998,1729,6276,1587,6718,481,2676,1,27,0,0,0,0,0,0
182,신반포역,37.5034947245635,126.996064297745,0,0,368,806,1846,6615,5482,7147,6576,8968,4349,5367,3249,3962,3179,3275,3768,3709,4303,4715,4230,4239,5646,4722,10515,4542,10322,5233,8889,7799,5081,5253,3468,2858,2994,2792,2602,3339,512,1393,0,11,0,0,0,0,0,0
183,신방화역,37.567486525915,126.817218331242,4,0,4563,581,11093,3049,27506,4613,25801,10994,13414,5861,9438,5203,8202,5997,8990,7405,9298,7433,8176,7066,8516,10129,9746,10888,8972,13622,9565,23619,5112,20328,4283,11439,3375,10238,2820,10819,802,5238,0,56,0,0,0,0,0,0
184,신사역,37.5164314730183,127.02029272549,35,4,2420,1467,5240,19804,10197,44201,17155,114242,13267,136267,16834,65990,21617,43271,25333,43825,29407,46811,36419,45270,43723,41770,55219,42495,84284,49665,135887,66628,93050,33281,59376,12626,75070,9289,68525,9166,6107,3801,0,92,0,0,0,0,0,0
185,신설동역,37.5760227613002,127.024452169845,310,10,10334,4137,10605,14976,22118,36730,32083,90523,21225,48572,19610,29769,23095,26262,25692,26369,29250,27738,30049,24906,33340,23695,42057,24044,56671,27854,78756,33298,30686,23337,19203,14307,19244,13017,14211,15268,3054,6981,10,747,0,0,0,0,0,0
186,신용산역,37.5292591477099,126.967960513832,0,0,1275,770,3676,8824,10770,32654,15605,89809,11687,59758,9618,24098,12877,17902,13320,17177,15783,18843,16524,17209,19818,17175,25242,17970,47471,21876,85455,28544,38721,17863,25239,9567,24857,7856,18083,8094,3003,2341,1,0,0,0,0,0,0,0
187,신이문역,37.6017744461345,127.067379878325,1324,22,8942,990,14218,2136,37255,4230,38393,7708,20565,4640,14028,5580,11677,6716,11520,8044,11590,8177,9828,9492,9146,12340,8806,15796,8771,20152,8108,32097,5688,24737,3452,15405,2802,12566,2375,15214,825,5783,40,679,0,0,0,0,0,0
188,신정네거리역,37.5202158982635,126.852876007423,41,0,8373,1199,16685,3982,50001,5123,45249,11957,23024,7779,15188,7014,13308,8329,13699,9524,12477,11359,10919,11589,10638,15048,12133,18290,12954,27309,11853,46400,6988,37778,5215,19210,4257,16937,3891,18358,834,8885,10,511,0,0,0,0,0,0
189,신정역,37.5250131753674,126.856079401594,57,0,11760,554,23273,3879,67381,7675,81624,13046,35532,8458,18734,6520,15957,7372,15490,8847,14929,9783,12240,11212,11111,15090,12372,19385,14970,27111,14884,47130,7879,37697,5368,23089,4805,20381,4283,23997,1059,9742,1,112,0,0,0,0,0,0
190,신촌역,37.5551954567089,126.936962654548,51,3,4817,2495,12375,16970,33033,38643,46176,81839,31696,85743,29499,51680,35311,47277,42963,49885,44378,59237,46107,51209,53504,48099,65156,49642,84063,67215,85038,96380,58438,62103,57267,30735,69502,26121,68780,29322,10506,13530,3,66,0,0,0,0,0,0
191,신풍역,37.5001085601918,126.909731743281,31,0,10110,1113,17093,4719,41922,11402,52217,20899,28761,10349,16147,8986,13385,9336,15015,10339,13982,11238,12498,11616,13167,14695,14555,18485,16375,27494,19080,42857,10515,32686,7324,18531,6414,17961,5058,19347,1345,7593,4,985,0,0,0,0,0,0
192,쌍문역,37.6485317952362,127.034651559958,109,1,22391,1017,52262,9134,124578,15059,131755,27599,72639,19627,46771,18709,38568,19535,38304,24196,35835,25543,31794,28330,30324,37253,33338,46410,34122,62135,33164,103459,21051,98817,14420,57606,12453,51672,9818,50303,2965,27069,2,402,0,0,0,0,0,0
193,아차산역,37.5522410643204,127.089561549724,0,0,8629,1445,15771,5146,43568,12984,58248,25206,29311,18886,19330,21088,17603,20011,21023,20675,22483,21601,23196,20212,23219,22235,28916,25734,27727,33940,26525,55427,16026,40233,11387,22464,13514,19115,13494,20750,1668,8663,2,280,0,0,0,0,0,0
194,아현역,37.5574025689432,126.956132861047,20,1,4375,1038,10956,7647,27341,12694,37235,22884,20691,11673,14690,9712,13796,9581,14739,10749,14451,11809,13043,12121,14037,13740,22281,15609,18521,21054,20232,31737,11891,24454,7973,14976,7064,14959,5111,17032,1346,6622,0,9,0,0,0,0,0,0
195,안국역,37.5764929103816,126.985419169939,21,0,1485,1592,2945,19314,5684,90652,7977,97038,7498,55401,8821,33202,12239,32587,17133,30811,19297,32531,24684,30266,35677,23515,47745,20282,91999,19577,99642,19419,41424,9428,30478,4834,29639,4193,18832,4302,2165,1926,0,18,0,0,0,0,0,0
196,안암역,37.5862930020861,127.02923341461,7,0,1346,1154,3018,5035,7522,16587,10413,36621,8700,29554,9882,18237,11585,12690,12860,14583,12433,17327,14334,13704,18204,11336,22306,11160,34732,13782,30205,18147,16623,13481,13912,8415,17547,8709,17932,11503,4954,5532,0,534,0,0,0,0,0,0
197,암사역,37.550133857734,127.127537293281,32,0,14545,844,26245,6456,79805,8661,102508,19087,46914,13586,25441,11472,22326,12705,23158,16450,22081,15627,18617,18286,18227,24303,20030,27422,20397,39922,21994,72362,12383,57296,9596,30172,8064,29346,6055,29635,1653,12925,3,1180,0,0,0,0,0,0
198,압구정로데오역,37.5275085746723,127.040591450907,55,0,1187,724,3231,10528,5097,22995,6999,70720,6260,104489,7785,46994,12406,35455,15742,32164,17650,32010,22462,29437,29188,27584,37680,29078,56617,34399,83310,42941,62562,21694,50179,7062,41781,4583,40926,4442,3363,1708,29,317,0,0,0,0,0,0
199,압구정역,37.5264849726148,127.028486030642,49,3,2827,1977,7469,21563,14969,44514,22818,134161,17748,154460,22024,70970,27816,51609,32146,45226,35433,48774,42684,46581,50714,38770,61391,41940,87196,47398,129862,55275,93332,30415,69986,13987,57848,10463,43851,11294,4803,3777,5,844,0,0,0,0,0,0
200,애오개역,37.553402332792,126.956655789028,0,0,2089,381,4999,3665,17328,10207,23742,30479,11102,12110,7805,6561,8008,6003,8132,6394,8768,7396,8076,7368,8882,7666,10555,8720,13346,11604,23367,20397,8112,13244,5307,7606,4866,7153,4070,8301,850,3446,2,1105,0,0,0,0,0,0
201,약수역,37.5544909839515,127.010887137982,90,1,7035,1146,11634,7138,29622,21701,43571,51057,29530,28541,21760,18637,20129,17706,21953,17644,22898,19176,21889,19902,22527,21726,26800,25894,32376,32390,44617,47747,23240,31333,17869,19690,19142,17895,16076,20344,2878,6952,3,1210,1,3,0,0,0,0
202,양재역,37.4845687081114,127.034146039501,67,1,4876,2382,13042,38771,34576,105902,43510,240644,31103,126230,28111,52654,31854,41024,35532,36816,38803,44287,42043,39054,50732,38228,65197,40772,121602,53458,201266,72799,88697,48225,56754,28751,56461,25197,43439,25136,4743,9860,5,740,0,0,0,1,0,0
203,양천구청역,37.5123744505094,126.865717870736,7,0,4500,858,11132,2130,32642,5283,29270,9515,15227,4565,9865,4176,8747,4649,9178,6359,8219,7089,7003,7088,6811,9106,7532,11347,8703,17211,8985,28312,3766,25217,2555,13609,2161,12296,2258,12916,588,7082,1,438,0,0,0,0,0,0
204,양천향교역,37.5680628368766,126.841960762674,3,0,4016,980,9128,4882,28954,10180,29158,37359,14350,17179,10513,8802,10840,8139,12322,8995,11860,8595,11280,10143,11936,9502,14368,11521,19123,16000,31484,26442,11628,25037,7278,15385,6593,12901,4722,15775,1128,7787,0,38,0,0,0,0,0,0
205,양평역,37.5255688309654,126.886419299276,40,1,3123,676,9595,4731,29857,13234,32045,46078,14575,19700,11634,11848,11113,12050,12157,11804,13028,10401,13661,11224,14121,12431,16292,13038,22092,18363,38969,27955,12819,19813,8456,13493,6665,11481,5545,11581,887,6556,25,583,0,0,0,0,0,0
206,어린이대공원역,37.5479446668453,127.074641659468,8,0,3251,889,7169,10153,17609,15034,30271,47376,20812,29009,12559,18506,12058,16805,14170,19025,16330,21592,16712,19487,21359,18483,26720,16817,37966,20082,42226,28308,21350,22011,14808,13236,15990,12333,15473,14541,4271,7238,2,229,0,0,0,0,0,0
207,언주역,37.5073281931356,127.033952822224,4,0,1050,801,2419,7344,5862,18677,8324,57679,6902,40405,7383,18493,8980,10518,10590,10312,10707,11793,12215,10451,14022,9498,17902,9750,32560,10718,51667,12798,23515,9538,12925,5598,12439,5166,10945,5324,1782,2655,1,110,0,0,0,0,0,0
208,여의나루역,37.5271361343623,126.932981451891,8,0,1103,1123,2386,9985,5244,38711,7803,64669,4625,30197,4282,17086,5434,18853,7400,22573,8897,29536,13012,33413,20213,33252,30766,30250,51901,27842,70266,29172,39463,17347,42682,9552,36259,6215,26836,6117,7028,1880,9,328,0,0,0,0,0,0
209,여의도역,37.5211664706025,126.924638422261,14,0,4300,4372,7567,40888,17826,265707,23679,374269,21664,138791,22864,57153,33267,57885,33924,55126,44041,60125,52114,53205,67858,46445,94051,44004,250214,49770,324734,63708,134876,33927,105247,17392,94482,14538,64443,15312,7138,4872,3,1541,0,0,0,0,0,0
210,역삼역,37.5006600052986,127.036460414211,38,2,3075,7003,7618,43544,13696,128541,22786,329368,21623,264016,22125,97649,30165,59594,36128,50425,43888,57694,52516,48845,67809,43207,91072,40724,181514,44699,279053,51224,137375,31953,75214,17380,78151,14512,60337,16250,10106,6425,0,1,0,0,0,0,0,0
211,역촌역,37.6062193423086,126.922831293899,1,0,1765,239,5673,1870,15580,2694,15956,8159,7905,3823,5033,3056,4635,3901,5306,3973,5307,4300,4533,4421,3952,4903,4072,7020,4341,8872,5104,15810,2497,13454,1746,6888,1584,7124,1354,7212,306,3887,0,0,0,0,0,0,0,0
212,연신내역,37.6191924317614,126.921096185129,258,11,25850,1644,51121,10969,132229,23324,156342,33452,84051,34008,54695,32148,50404,33817,54448,36085,50905,40232,46902,41128,46930,51911,54189,62212,49164,81330,46731,133416,31768,120614,24707,63493,25369,59214,22712,60413,3715,32130,3,1266,0,0,0,0,0,0
213,염창역,37.5469649168106,126.874867107681,2,0,10705,668,25048,4914,74750,7959,80760,21984,40434,11326,24046,9529,20238,9806,21296,12611,19979,13700,16790,15084,16145,19897,17208,24271,20073,40120,24171,68965,12173,61695,8966,36595,8240,30820,6523,36310,1381,15221,3,218,0,0,0,0,0,0
214,영등포구청역,37.5258305232222,126.896668349116,30,1,6192,3651,14999,16526,47972,43088,56924,146741,33838,64505,26217,30483,27219,25993,29024,27454,30168,30282,31593,28160,32977,28641,41733,32096,62549,39706,125496,63815,42211,41529,28138,23599,29469,22576,23365,25911,4286,9819,3,217,0,0,0,0,0,0
215,영등포시장역,37.5227021758736,126.905179576089,4,0,2326,954,5794,5426,19994,13995,28814,38505,12490,21990,8937,12997,10061,12175,11278,12549,12583,14713,12658,13165,14695,12260,17027,12532,22860,15503,35264,27724,14825,17555,9868,10173,8860,9682,7847,12047,1410,3953,0,4,0,0,0,0,0,0
216,영등포역,37.5156764732488,126.90785793823,3995,79,16433,5921,16995,20274,38874,56305,51267,119606,34937,85194,32336,62890,36745,60631,43656,62192,49827,66494,52693,62519,62406,64212,74392,65054,92141,78089,139473,104500,79951,65649,82457,33396,72181,25192,57325,25520,9083,9460,40,1768,0,0,0,0,0,0
217,오금역,37.5021280700015,127.127930582636,6,0,4778,358,10297,5506,33589,14618,36457,34513,19285,11949,12127,7985,11269,6949,12778,8254,12043,8931,10547,8514,11429,10992,15654,12681,19039,18498,25589,27270,9477,21813,6477,13310,5869,11488,4966,14369,923,5849,3,1355,0,0,0,0,0,0
218,오류동역,37.4943827932767,126.844807477983,483,1,11720,2026,17886,5047,51884,6454,52812,11183,27134,9766,18030,9148,16180,9565,18179,11449,16381,12597,14198,13686,13951,16693,14751,18969,15196,27458,14742,44125,8382,38896,6353,22905,5751,20223,4862,20009,1251,8738,27,648,0,0,0,0,0,0
